0,1
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\98892.png,Ra7+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\9996.png,Rxa2
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\92149.png,d6
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\30513.png,Bb2
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\74377.png,Kxf2
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\69835.png,cxd8=N+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\44098.png,Nde5+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\2306.png,Rg2+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\70650.png,Kd5
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\88809.png,fxg4
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\58547.png,b6
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\97120.png,Rxe8
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\38399.png,Rxh7
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\90745.png,exf4
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\10445.png,Bxh3
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\20007.png,Qa7+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\93740.png,Kd4
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\14399.png,Qxh7
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\72345.png,Ke8
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\29760.png,Rxd6
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\36687.png,Re5
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\5273.png,Kg5
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\50567.png,d6
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\54648.png,Ne1
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\18863.png,Qg4+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\76687.png,Ncxe3
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\54687.png,Rd3
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\98844.png,Nc5
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\35467.png,Bxa2
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\75396.png,Nh7
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\50357.png,g8=R
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\81498.png,Nf3+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\74231.png,Bh2
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\30676.png,Qe2+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\29075.png,Bg5+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\95449.png,bxc8=R+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\67111.png,f4
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\88357.png,Rxa5+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\23643.png,R3b5
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\5662.png,Rc7
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\75107.png,Qf3+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\46356.png,Qec3+
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\90591.png,Qh6
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\14780.png,Bc7
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\28708.png,Qc1
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\89194.png,Nf3
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\77436.png,Rcf6
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\11596.png,dxe5
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\59739.png,Bf1
C:\Users\marti\Documents\BA\ml-project-2-syc-group\data\synth\data\11847.png,Qxg1+
